metric,index,mean,std
f1 weighted (test) (transpose_{'n_semitones': 12}),0,0.9090349453024422,0.18590068719224587
f1 weighted (test) (transpose_{'n_semitones': 12}),1,0.882664881956423,0.1847521483786719
f1 weighted (test) (transpose_{'n_semitones': 12}),2,0.8906610709272702,0.18295617734032432
f1 weighted (test) (transpose_{'n_semitones': 12}),3,0.8984112254868407,0.18396743411643152
f1 weighted (test) (transpose_{'n_semitones': 12}),4,0.905957040039242,0.1859313249052672
f1 weighted (test) (transpose_{'n_semitones': 12}),5,0.9449668937806021,0.05044076361281185
f1 weighted (test) (transpose_{'n_semitones': 12}),6,0.9381197236777429,0.05509503989173376
f1 weighted (test) (transpose_{'n_semitones': 12}),7,0.9430949498136454,0.05668266222241243
f1 weighted (test) (transpose_{'n_semitones': 12}),8,0.945807265560261,0.04730705109131795
f1 weighted (test) (transpose_{'n_semitones': 12}),9,0.945061215542244,0.05051927056661756
f1 weighted (test) (transpose_{'n_semitones': 12}),10,0.9407517436543548,0.04157725010911811
f1 weighted (test) (transpose_{'n_semitones': 12}),11,0.9241132777627342,0.06420649351283156
f1 weighted (test) (transpose_{'n_semitones': 12}),12,0.8259422078667893,0.1095532105744572
f1 weighted (test) (transpose_{'n_semitones': 12}),13,0.8618342647824483,0.10106561382246143
f1 weighted (test) (transpose_{'n_semitones': 12}),14,0.797728418900782,0.15648011645057022
f1 weighted (test) (transpose_{'n_semitones': 12}),15,0.031754125487987755,0.047077533955838746
f1 weighted (test) (transpose_{'n_semitones': 12}),16,0.3970959955804609,0.11859116602866908
time (transpose_{'n_semitones': 24}),0,0.4737017772815846,0.7263107837703282
time (transpose_{'n_semitones': 24}),1,0.05551409279858625,0.08589277465772976
time (transpose_{'n_semitones': 24}),2,0.07290953618508798,0.07415420151811068
time (transpose_{'n_semitones': 24}),3,0.13105674584706625,0.14429522167210515
time (transpose_{'n_semitones': 24}),4,0.17002249205553974,0.13706198242058065
time (transpose_{'n_semitones': 24}),5,0.4237865783550121,0.2968357333038963
time (transpose_{'n_semitones': 24}),6,0.40323298065750685,0.27089367531171055
time (transpose_{'n_semitones': 24}),7,0.4138017583776403,0.29036147646052685
time (transpose_{'n_semitones': 24}),8,0.4186187541043317,0.2943559014644478
time (transpose_{'n_semitones': 24}),9,0.41984277301364475,0.2986345761791565
time (transpose_{'n_semitones': 24}),10,0.020235896110534668,0.01135858928589639
time (transpose_{'n_semitones': 24}),11,0.6042529123800772,0.45289492489785627
time (transpose_{'n_semitones': 24}),12,0.014572682204069915,0.0064113738052273715
time (transpose_{'n_semitones': 24}),13,0.38967250453101265,0.24899322348321842
time (transpose_{'n_semitones': 24}),14,0.007654353424354836,0.0012191603695848035
time (transpose_{'n_semitones': 24}),15,0.008138890619631167,0.00294744944262297
time (transpose_{'n_semitones': 24}),16,0.008441183302137587,0.0018992458783022696
accuracy (train) (transpose_{'n_semitones': 24}),0,0.9594580464241781,0.18824892207470006
